player_name,position,country,link,Team,dob,Number,Height,pid
Arnaut Danjuma Groeneveld,Forward,  Netherlands,http://www.premierleague.com/players/16524/Arnaut-Danjuma-Groeneveld/overview,AFC Bournemouth,31/01/1997,14,178cm,220307
Scott Dann,Defender,  England,http://www.premierleague.com/players/3807/Scott-Dann/overview,Crystal Palace,14/02/1987,6,188cm,19188
Kevin Danso,Defender,  Austria,http://www.premierleague.com/players/25892/Kevin-Danso/overview,Southampton,19/09/1998,38,190cm,135720
Karl Darlow,Goalkeeper,  England,http://www.premierleague.com/players/9251/Karl-Darlow/overview,Newcastle United,08/10/1990,26,190cm,59735
Matteo Darmian,Defender,  Italy,http://www.premierleague.com/players/12854/Matteo-Darmian/overview,Defender,02/12/1989,,182cm,40002
David Luiz,Defender,  Brazil,http://www.premierleague.com/players/4100/David-Luiz/overview,Arsenal,22/04/1987,23,189cm,41270
David Silva,Midfielder,  Spain,http://www.premierleague.com/players/4145/David-Silva/overview,Manchester City,08/01/1986,21,173cm,20664
Jordan Davies,Midfielder,  Wales,http://www.premierleague.com/players/21628/Jordan-Davies/overview,Brighton and Hove Albion,18/08/1998,51,,231821
Keinan Davis,Forward,  England,http://www.premierleague.com/players/13130/Keinan-Davis/overview,Aston Villa,13/02/1998,39,191cm,221239
Craig Dawson,Defender,  England,http://www.premierleague.com/players/4198/Craig-Dawson/overview,Watford,06/05/1990,4,188cm,60232
Jonathan De Bie,Goalkeeper,  Belgium,http://www.premierleague.com/players/21506/Jonathan-De-Bie/overview,Goalkeeper,28/05/2000,,,235076
Kevin De Bruyne,Midfielder,  Belgium,http://www.premierleague.com/players/4288/Kevin-De-Bruyne/overview,Manchester City,28/06/1991,17,181cm,61366
David de Gea,Goalkeeper,  Spain,http://www.premierleague.com/players/4330/David-de-Gea/overview,Manchester United,07/11/1990,1,192cm,51940
Troy Deeney,Forward,  England,http://www.premierleague.com/players/9947/Troy-Deeney/overview,Watford,29/06/1988,9,183cm,41725
Jermain Defoe,Forward,  England,http://www.premierleague.com/players/1526/Jermain-Defoe/overview,Forward,07/10/1982,,171cm,7958
Steven Defour,Midfielder,  Belgium,http://www.premierleague.com/players/5345/Steven-Defour/overview,Midfielder,15/04/1988,,173cm,39847
Dele Alli,Midfielder,  England,http://www.premierleague.com/players/9167/Dele-Alli/overview,Tottenham Hotspur,11/04/1996,20,188cm,108823
Fabian Delph,Midfielder,  England,http://www.premierleague.com/players/3799/Fabian-Delph/overview,Everton,21/11/1989,8,174cm,41823
Mousa Dembélé,Midfielder,  Belgium,http://www.premierleague.com/players/4123/Mousa-Dembélé/overview,Midfielder,16/07/1987,,185cm,39104
Jason Denayer,Defender,  Belgium,http://www.premierleague.com/players/11002/Jason-Denayer/overview,Defender,28/06/1995,,184cm,160729
Leander Dendoncker,Midfielder,  Belgium,http://www.premierleague.com/players/5866/Leander-Dendoncker/overview,Wolverhampton Wanderers,15/04/1995,32,188cm,151589
William Dennis,Goalkeeper,  England,http://www.premierleague.com/players/53093/William-Dennis/overview,AFC Bournemouth,10/07/2000,40,,444172
Gerard Deulofeu,Forward,  Spain,http://www.premierleague.com/players/4777/Gerard-Deulofeu/overview,Watford,13/03/1994,7,177cm,94924
Kiernan Dewsbury-Hall,Midfielder,  England,http://www.premierleague.com/players/14706/Kiernan-Dewsbury-Hall/overview,Midfielder,06/09/1998,,,215413
Fousseni Diabaté,Midfielder,  Mali,http://www.premierleague.com/players/32936/Fousseni-Diabaté/overview,Forward,18/10/1995,,175cm,210207
Mohamed Diamé,Midfielder,  Senegal,http://www.premierleague.com/players/3982/Mohamed-Diamé/overview,Midfielder,14/06/1987,,184cm,28147
Grady Diangana,Midfielder,  England,http://www.premierleague.com/players/15199/Grady-Diangana/overview,Midfielder,19/04/1998,,180cm,179830
Brahim Díaz,Forward,  Spain,http://www.premierleague.com/players/14800/Brahim-Díaz/overview,Forward,03/08/1999,,171cm,216183
Eric Dier,Midfielder,  England,http://www.premierleague.com/players/4112/Eric-Dier/overview,Tottenham Hotspur,15/01/1994,15,188cm,93264
Lucas Digne,Defender,  France,http://www.premierleague.com/players/5758/Lucas-Digne/overview,Everton,20/07/1993,12,178cm,101188
Diogo Dalot,Defender,  Portugal,http://www.premierleague.com/players/24252/Diogo-Dalot/overview,Manchester United,18/03/1999,20,183cm,216051
Diogo Jota,Forward,  Portugal,http://www.premierleague.com/players/19758/Diogo-Jota/overview,Wolverhampton Wanderers,04/12/1996,18,178cm,194634
Alpha Richard Dionkou,Defender,  Senegal,http://www.premierleague.com/players/31885/Alpha-Richard-Dionkou/overview,Manchester City,10/10/2001,88,183cm,441027
Issa Diop,Defender,  France,http://www.premierleague.com/players/49884/Issa-Diop/overview,West Ham United,09/01/1997,23,194cm,219924
Elijah Dixon-Bonner,Midfielder,  England,http://www.premierleague.com/players/24231/Elijah-Dixon-Bonner/overview,Liverpool,01/01/2001,69,,215133
Moussa Djenepo,Midfielder,  Mali,http://www.premierleague.com/players/52153/Moussa-Djenepo/overview,Southampton,15/06/1998,12,177cm,431131
Mihai-Alexandru Dobre,Midfielder,  Romania,http://www.premierleague.com/players/26556/Mihai-Alexandru-Dobre/overview,Midfielder,30/08/1998,,178cm,207300
Matt Doherty,Defender,  Ireland,http://www.premierleague.com/players/4229/Matt-Doherty/overview,Wolverhampton Wanderers,16/01/1992,,182cm,87835
Domingos Quina,Midfielder,  Portugal,http://www.premierleague.com/players/19678/Domingos-Quina/overview,Watford,18/11/1999,20,179cm,216058
Abdoulaye Doucouré,Midfielder,  France,http://www.premierleague.com/players/13823/Abdoulaye-Doucouré/overview,Watford,01/01/1993,16,184cm,121599
Douglas Luiz,Midfielder,  Brazil,http://www.premierleague.com/players/24626/Douglas-Luiz/overview,Aston Villa,09/05/1998,6,175cm,230046
Kieran Dowell,Midfielder,  England,http://www.premierleague.com/players/10455/Kieran-Dowell/overview,Midfielder,10/10/1997,,175cm,171270
Tommy Doyle,Midfielder,  England,http://www.premierleague.com/players/24637/Tommy-Doyle/overview,Manchester City,17/10/2001,69,,220394
Jake Doyle-Hayes,Midfielder,  Ireland,http://www.premierleague.com/players/14487/Jake-Doyle-Hayes/overview,Midfielder,30/12/1998,,,217974
Luke Dreher,Midfielder,  England,http://www.premierleague.com/players/13340/Luke-Dreher/overview,Midfielder,27/11/1998,,184cm,221275
Daniel Drinkwater,Midfielder,  England,http://www.premierleague.com/players/3670/Daniel-Drinkwater/overview,Aston Villa,05/03/1990,4,178cm,61603
Anthony Driscoll-Glennon,Defender,  England,http://www.premierleague.com/players/23810/Anthony-Driscoll-Glennon/overview,Defender,26/11/1999,,181cm,195471
Josip Drmic,Forward,  Switzerland,http://www.premierleague.com/players/11111/Josip-Drmic/overview,Norwich City,08/08/1992,20,183cm,81048
Martin Dubravka,Goalkeeper,  Slovakia,http://www.premierleague.com/players/6451/Martin-Dubravka/overview,Newcastle United,15/01/1989,1,190cm,67089
Ondrej Duda,Midfielder,  Slovakia,http://www.premierleague.com/players/6820/Ondrej-Duda/overview,Norwich City,05/12/1994,25,181cm,139110
Shane Duffy,Defender,  Ireland,http://www.premierleague.com/players/3601/Shane-Duffy/overview,Brighton and Hove Albion,01/01/1992,4,193cm,61933
Paul Dummett,Defender,  Wales,http://www.premierleague.com/players/4340/Paul-Dummett/overview,Newcastle United,26/09/1991,3,183cm,106618
Bobby Duncan,Forward,  England,http://www.premierleague.com/players/23826/Bobby-Duncan/overview,Forward,26/06/2001,,,218998
Lewis Dunk,Defender,  England,http://www.premierleague.com/players/8163/Lewis-Dunk/overview,Brighton and Hove Albion,21/11/1991,5,192cm,83299
Jake Eastwood,Goalkeeper,  England,http://www.premierleague.com/players/14255/Jake-Eastwood/overview,Sheffield United,03/10/1996,13,193cm,213280
Ederson,Goalkeeper,  Brazil,http://www.premierleague.com/players/12707/Ederson,Manchester City,17/08/1993,31,188cm,121160
John Egan,Defender,  Ireland,http://www.premierleague.com/players/4394/John-Egan/overview,Sheffield United,20/10/1992,12,185cm,108416
Anwar El Ghazi,Midfielder,  Netherlands,http://www.premierleague.com/players/11033/Anwar-El-Ghazi/overview,Aston Villa,03/05/1995,21,188cm,193488
Callum Elder,Defender,  Australia,http://www.premierleague.com/players/8962/Callum-Elder/overview,Defender,27/01/1995,,180cm,168222
Robert Elliot,Goalkeeper,  Ireland,http://www.premierleague.com/players/2214/Robert-Elliot/overview,Newcastle United,30/04/1986,21,190cm,19838
Harvey Elliott,Midfielder,  England,http://www.premierleague.com/players/33185/Harvey-Elliott/overview,Liverpool,04/04/2003,,170cm,444884
Tommy Elphick,Defender,  England,http://www.premierleague.com/players/8046/Tommy-Elphick/overview,Defender,07/09/1987,,180cm,28378
Emerson,Defender,  Italy,http://www.premierleague.com/players/16803/Emerson,Chelsea,03/08/1994,33,176cm,109533
Björn Engels,Defender,  Belgium,http://www.premierleague.com/players/12199/Björn-Engels/overview,Aston Villa,15/09/1994,22,193cm,108156
Niall Ennis,Forward,  England,http://www.premierleague.com/players/15258/Niall-Ennis/overview,Forward,20/05/1999,,180cm,198843
Bright Enobakhare,Forward,  England,http://www.premierleague.com/players/13903/Bright-Enobakhare/overview,Forward,08/02/1998,,178cm,198847
Christian Eriksen,Midfielder,  Denmark,http://www.premierleague.com/players/4845/Christian-Eriksen/overview,Midfielder,14/02/1992,,182cm,80607
Jonny Evans,Defender,  Northern Ireland,http://www.premierleague.com/players/3156/Jonny-Evans/overview,Leicester City,03/01/1988,6,188cm,37642
Timothy Eyoma,Defender,  England,http://www.premierleague.com/players/15123/Timothy-Eyoma/overview,Defender,29/01/2000,,183cm,209040
Lukasz Fabianski,Goalkeeper,  Poland,http://www.premierleague.com/players/3309/Lukasz-Fabianski/overview,West Ham United,18/04/1985,1,190cm,37096
Fabinho,Midfielder,  Brazil,http://www.premierleague.com/players/11247/Fabinho,Liverpool,23/10/1993,3,188cm,116643
Cesc Fàbregas,Midfielder,  Spain,http://www.premierleague.com/players/2417/Cesc-Fàbregas/overview,Midfielder,04/05/1987,,180cm,17878
Ralf Fährmann,Goalkeeper,  Germany,http://www.premierleague.com/players/5361/Ralf-Fährmann/overview,Norwich City,27/09/1988,21,197cm,28082
Akin Famewo,Defender,  England,http://www.premierleague.com/players/19752/Akin-Famewo/overview,Defender,09/11/1998,,187cm,232667
Felipe Anderson,Midfielder,  Brazil,http://www.premierleague.com/players/6784/Felipe-Anderson/overview,West Ham United,15/04/1993,8,175cm,101537
Marouane Fellaini,Midfielder,  Belgium,http://www.premierleague.com/players/3604/Marouane-Fellaini/overview,Midfielder,22/11/1987,,194cm,41184
Edimilson Fernandes,Midfielder,  Switzerland,http://www.premierleague.com/players/15759/Edimilson-Fernandes/overview,Midfielder,15/04/1996,,187cm,163526
Federico Fernández,Defender,  Argentina,http://www.premierleague.com/players/5672/Federico-Fernández/overview,Newcastle United,21/02/1989,18,190cm,57145
Fernandinho,Midfielder,  Brazil,http://www.premierleague.com/players/4804/Fernandinho,Manchester City,04/05/1985,25,179cm,27789
Ethan Fitzhugh,Midfielder,  England,http://www.premierleague.com/players/51544/Ethan-Fitzhugh/overview,Midfielder,27/11/2002,,,461561
Jake Flannigan,Midfielder,  England,http://www.premierleague.com/players/10500/Jake-Flannigan/overview,Defender,02/02/1996,,180cm,153372
John Fleck,Midfielder,  Scotland,http://www.premierleague.com/players/8444/John-Fleck/overview,Sheffield United,24/08/1991,4,170cm,47247
Phil Foden,Forward,  England,http://www.premierleague.com/players/14805/Phil-Foden/overview,Manchester City,28/05/2000,,171cm,209244
Pablo Fornals,Midfielder,  Spain,http://www.premierleague.com/players/25246/Pablo-Fornals/overview,West Ham United,22/02/1996,18,178cm,217593
Fraser Forster,Goalkeeper,  England,http://www.premierleague.com/players/3170/Fraser-Forster/overview,Goalkeeper,17/03/1988,,201cm,40383
Ben Foster,Goalkeeper,  England,http://www.premierleague.com/players/2932/Ben-Foster/overview,Watford,03/04/1983,26,193cm,9089
Timothy Fosu-Mensah,Defender,  Netherlands,http://www.premierleague.com/players/13561/Timothy-Fosu-Mensah/overview,Manchester United,02/01/1998,24,190cm,201084
Dimitri Foulquier,Defender,  Guadeloupe,http://www.premierleague.com/players/25292/Dimitri-Foulquier/overview,Defender,23/03/1993,,183cm,96767
Juan Foyth,Defender,  Argentina,http://www.premierleague.com/players/25309/Juan-Foyth/overview,Tottenham Hotspur,12/01/1998,21,179cm,234908
Simon Francis,Defender,  England,http://www.premierleague.com/players/8044/Simon-Francis/overview,AFC Bournemouth,16/02/1985,2,183cm,15149
Marcel Franke,Defender,  Germany,http://www.premierleague.com/players/24238/Marcel-Franke/overview,Defender,05/04/1993,,193cm,93662
Ryan Fraser,Midfielder,  Scotland,http://www.premierleague.com/players/8052/Ryan-Fraser/overview,AFC Bournemouth,24/02/1994,24,163cm,90105
Fred,Midfielder,  Brazil,http://www.premierleague.com/players/5906/Fred,Manchester United,05/03/1993,17,169cm,101582
Freddy Woodman,Goalkeeper,  England,http://www.premierleague.com/players/10479/Freddy-Woodman/overview,Goalkeeper,04/03/1997,,188cm,155503
Ryan Fredericks,Defender,  England,http://www.premierleague.com/players/3958/Ryan-Fredericks/overview,West Ham United,10/10/1992,24,181cm,81012
Christian Fuchs,Defender,  Austria,http://www.premierleague.com/players/5371/Christian-Fuchs/overview,Leicester City,07/04/1986,28,187cm,37402
Manolo Gabbiadini,Forward,  Italy,http://www.premierleague.com/players/12639/Manolo-Gabbiadini/overview,Forward,26/11/1991,,181cm,61548
Gabriel Jesus,Forward,  Brazil,http://www.premierleague.com/players/19680/Gabriel-Jesus/overview,Manchester City,03/04/1997,9,175cm,205651
Gabriel Martinelli,Forward,  Brazil,http://www.premierleague.com/players/66104/Gabriel-Martinelli/overview,Arsenal,18/06/2001,35,180cm,444145
Ethan Galbraith,Midfielder,  Northern Ireland,http://www.premierleague.com/players/24649/Ethan-Galbraith/overview,Manchester United,11/05/2001,54,,432819
Tony Gallacher,Defender,  Scotland,http://www.premierleague.com/players/33072/Tony-Gallacher/overview,Liverpool,23/07/1999,54,173cm,200646
Conor Gallagher,Midfielder,  England,http://www.premierleague.com/players/21887/Conor-Gallagher/overview,Midfielder,06/02/2000,,182cm,232787
Luke Garbutt,Defender,  England,http://www.premierleague.com/players/3868/Luke-Garbutt/overview,Defender,21/05/1993,,179cm,80183
Eric García,Defender,  Spain,http://www.premierleague.com/players/24635/Eric-García/overview,Manchester City,09/01/2001,,182cm,432656
James Garner,Midfielder,  England,http://www.premierleague.com/players/23841/James-Garner/overview,Manchester United,13/03/2001,,,232928
Dwight Gayle,Forward,  England,http://www.premierleague.com/players/4771/Dwight-Gayle/overview,West Bromwich Albion,17/10/1990,16,174cm,104547
Paulo Gazzaniga,Goalkeeper,  Argentina,http://www.premierleague.com/players/4600/Paulo-Gazzaniga/overview,Tottenham Hotspur,02/01/1992,22,196cm,102884
Jean-Philippe Gbamin,Midfielder,  Cote D'Ivoire,http://www.premierleague.com/players/20187/Jean-Philippe-Gbamin/overview,Everton,25/09/1995,25,186cm,160987
Gedson Fernandes,Midfielder,  Portugal,http://www.premierleague.com/players/50857/Gedson-Fernandes/overview,Tottenham Hotspur,09/01/1999,30,182cm,195774
Brooklyn Genesini,Defender,  England,http://www.premierleague.com/players/74739/Brooklyn-Genesini/overview,AFC Bournemouth,12/12/2001,,,460992
Anthony Georgiou,Midfielder,  Cyprus,http://www.premierleague.com/players/15146/Anthony-Georgiou/overview,Midfielder,24/02/1997,,179cm,168771
Rachid Ghezzal,Forward,  Algeria,http://www.premierleague.com/players/6889/Rachid-Ghezzal/overview,Forward,09/05/1992,,182cm,115858
Morgan Gibbs-White,Midfielder,  England,http://www.premierleague.com/players/15259/Morgan-Gibbs-White/overview,Wolverhampton Wanderers,27/01/2000,17,171cm,222531
Ben Gibson,Defender,  England,http://www.premierleague.com/players/9117/Ben-Gibson/overview,Burnley,15/01/1993,14,185cm,83312
Ryan Giles,Midfielder,  England,http://www.premierleague.com/players/20081/Ryan-Giles/overview,Midfielder,26/01/2000,,,232351
Charlie Gilmour,Midfielder,  Scotland,http://www.premierleague.com/players/14453/Charlie-Gilmour/overview,Midfielder,11/02/1999,,171cm,175931
Olivier Giroud,Forward,  France,http://www.premierleague.com/players/4481/Olivier-Giroud/overview,Chelsea,30/09/1986,18,192cm,44346
Paul Gladon,Forward,  Netherlands,http://www.premierleague.com/players/20179/Paul-Gladon/overview,Forward,18/03/1992,,188cm,95218
Paul Glatzel,Midfielder,  England,http://www.premierleague.com/players/24232/Paul-Glatzel/overview,Midfielder,20/02/2001,,,201664
Ben Godfrey,Midfielder,  England,http://www.premierleague.com/players/10968/Ben-Godfrey/overview,Norwich City,15/01/1998,35,183cm,198826
Claudio Gomes,Midfielder,  France,http://www.premierleague.com/players/50989/Claudio-Gomes/overview,Midfielder,23/07/2000,,164cm,219291
Joseph Gomez,Defender,  England,http://www.premierleague.com/players/10651/Joseph-Gomez/overview,Liverpool,23/05/1997,,188cm,171287
Gonçalo Cardoso,Defender,  Portugal,http://www.premierleague.com/players/66362/Gonçalo-Cardoso/overview,West Ham United,21/10/2000,,189cm,459373
Mace Goodridge,Midfielder,  England,http://www.premierleague.com/players/14795/Mace-Goodridge/overview,Burnley,13/09/1999,44,,195064
Anthony Gordon,Forward,  England,http://www.premierleague.com/players/23747/Anthony-Gordon/overview,Everton,24/02/2001,42,,232826
Dan Gosling,Midfielder,  England,http://www.premierleague.com/players/3390/Dan-Gosling/overview,AFC Bournemouth,01/02/1990,4,183cm,40387
Kamil Grabara,Goalkeeper,  Poland,http://www.premierleague.com/players/19909/Kamil-Grabara/overview,Goalkeeper,08/01/1999,,195cm,232904
Lee Grant,Goalkeeper,  England,http://www.premierleague.com/players/1870/Lee-Grant/overview,Manchester United,27/01/1983,13,193cm,6744
Demarai Gray,Midfielder,  England,http://www.premierleague.com/players/7946/Demarai-Gray/overview,Leicester City,28/06/1996,,180cm,172632
Jack Grealish,Midfielder,  England,http://www.premierleague.com/players/4260/Jack-Grealish/overview,Aston Villa,10/09/1995,10,175cm,114283
Andre Green,Midfielder,  England,http://www.premierleague.com/players/10433/Andre-Green/overview,Midfielder,26/07/1998,,180cm,174597
Mason Greenwood,Forward,  England,http://www.premierleague.com/players/25266/Mason-Greenwood/overview,Manchester United,01/10/2001,26,181cm,220688
Daniel Grimshaw,Goalkeeper,  England,http://www.premierleague.com/players/14766/Daniel-Grimshaw/overview,Goalkeeper,16/01/1998,,185cm,145232
Pascal Groß,Midfielder,  Germany,http://www.premierleague.com/players/22542/Pascal-Groß/overview,Brighton and Hove Albion,15/06/1991,13,181cm,60307
Marko Grujic,Midfielder,  Serbia,http://www.premierleague.com/players/13985/Marko-Grujic/overview,Midfielder,13/04/1996,,191cm,210237
Vicente Guaita,Goalkeeper,  Spain,http://www.premierleague.com/players/7548/Vicente-Guaita/overview,Crystal Palace,10/01/1987,31,190cm,40836
Jóhann Gudmundsson,Midfielder,  Iceland,http://www.premierleague.com/players/6210/Jóhann-Gudmundsson/overview,Burnley,27/10/1990,7,186cm,60586
Matteo Guendouzi,Midfielder,  France,http://www.premierleague.com/players/50512/Matteo-Guendouzi/overview,Arsenal,14/04/1999,29,185cm,242166
Idrissa Gueye,Midfielder,  Senegal,http://www.premierleague.com/players/12582/Idrissa-Gueye/overview,Midfielder,26/09/1989,,174cm,80801
Frederic Guilbert,Defender,  France,http://www.premierleague.com/players/15549/Frederic-Guilbert/overview,Aston Villa,24/12/1994,24,178cm,203368
Ilkay Gündogan,Midfielder,  Germany,http://www.premierleague.com/players/5101/Ilkay-Gündogan/overview,Manchester City,24/10/1990,8,180cm,59859
Angus Gunn,Goalkeeper,  England,http://www.premierleague.com/players/15269/Angus-Gunn/overview,Southampton,22/01/1996,28,196cm,107265
Peter Gwargis,Midfielder,  Sweden,http://www.premierleague.com/players/51437/Peter-Gwargis/overview,Brighton and Hove Albion,04/09/2000,,,461870
Viktor Gyökeres,Forward,  Sweden,http://www.premierleague.com/players/32728/Viktor-Gyökeres/overview,Forward,04/06/1998,,187cm,224117
Sead Haksabanovic,Midfielder,  Montenegro,http://www.premierleague.com/players/24839/Sead-Haksabanovic/overview,Midfielder,04/05/1999,,173cm,198501
Sébastien Haller,Forward,  France,http://www.premierleague.com/players/49761/Sébastien-Haller/overview,West Ham United,22/06/1994,22,190cm,103123
Ethan Hamilton,Midfielder,  Scotland,http://www.premierleague.com/players/14835/Ethan-Hamilton/overview,Midfielder,18/10/1998,,187cm,201083
Grant Hanley,Defender,  Scotland,http://www.premierleague.com/players/3819/Grant-Hanley/overview,Norwich City,20/11/1991,5,187cm,83428
Kornelius Hansen,Midfielder,  Norway,http://www.premierleague.com/players/23875/Kornelius-Hansen/overview,Midfielder,06/05/2001,,,247510
Nathan Harker,Goalkeeper,  England,http://www.premierleague.com/players/14875/Nathan-Harker/overview,Goalkeeper,05/11/1998,,,206913
Harry Wilson,Midfielder,  Wales,http://www.premierleague.com/players/13961/Harry-Wilson/overview,AFC Bournemouth,22/03/1997,22,173cm,153682
Joe Hart,Goalkeeper,  England,http://www.premierleague.com/players/3143/Joe-Hart/overview,Burnley,19/04/1987,20,196cm,15749
Taylor Harwood-Bellis,Defender,  England,http://www.premierleague.com/players/25447/Taylor-Harwood-Bellis/overview,Manchester City,30/01/2002,72,,245719
Kortney Hause,Defender,  England,http://www.premierleague.com/players/10000/Kortney-Hause/overview,Aston Villa,16/07/1995,30,191cm,123354
Isaac Hayden,Midfielder,  England,http://www.premierleague.com/players/4713/Isaac-Hayden/overview,Newcastle United,22/03/1995,14,185cm,153127
Tom Heaton,Goalkeeper,  England,http://www.premierleague.com/players/2933/Tom-Heaton/overview,Aston Villa,15/04/1986,1,188cm,21205
Michael Hector,Defender,  Jamaica,http://www.premierleague.com/players/4582/Michael-Hector/overview,Defender,19/07/1992,,193cm,84915
Philip Heise,Defender,  Germany,http://www.premierleague.com/players/47259/Philip-Heise/overview,Defender,20/06/1991,,184cm,101061
Hélder Costa,Forward,  Portugal,http://www.premierleague.com/players/5064/Hélder-Costa/overview,Forward,12/01/1994,,178cm,165808
Tomer Hemed,Forward,  Israel,http://www.premierleague.com/players/13234/Tomer-Hemed/overview,Forward,02/05/1987,,186cm,38499
Stephen Henderson,Goalkeeper,  Ireland,http://www.premierleague.com/players/3058/Stephen-Henderson/overview,Crystal Palace,02/05/1988,19,193cm,42525
Jeff Hendrick,Midfielder,  Ireland,http://www.premierleague.com/players/8586/Jeff-Hendrick/overview,Burnley,31/01/1992,13,185cm,83314
Ben Heneghan,Defender,  England,http://www.premierleague.com/players/11579/Ben-Heneghan/overview,Defender,19/09/1993,,191cm,114090
Wayne Hennessey,Goalkeeper,  Wales,http://www.premierleague.com/players/2569/Wayne-Hennessey/overview,Crystal Palace,24/01/1987,,198cm,20066
Dion Henry,Goalkeeper,  England,http://www.premierleague.com/players/10855/Dion-Henry/overview,Goalkeeper,12/09/1997,,180cm,199806
Rushian Hepburn-Murphy,Forward,  England,http://www.premierleague.com/players/10432/Rushian-Hepburn-Murphy/overview,Forward,28/08/1998,,173cm,175944
Onel Hernández,Midfielder,  Cuba,http://www.premierleague.com/players/33066/Onel-Hernández/overview,Norwich City,01/02/1993,11,172cm,89470
Ander Herrera,Midfielder,  Spain,http://www.premierleague.com/players/10475/Ander-Herrera/overview,Midfielder,14/08/1989,,182cm,59846
Jake Hesketh,Midfielder,  England,http://www.premierleague.com/players/10501/Jake-Hesketh/overview,Midfielder,27/03/1996,,168cm,158544
Heurelho Gomes,Goalkeeper,  Brazil,http://www.premierleague.com/players/3719/Heurelho-Gomes/overview,Watford,15/02/1981,1,191cm,18656
Mateusz Hewelt,Goalkeeper,  Poland,http://www.premierleague.com/players/14619/Mateusz-Hewelt/overview,Goalkeeper,23/09/1996,,186cm,185056
Gonzalo Higuaín,Forward,  Argentina,http://www.premierleague.com/players/5698/Gonzalo-Higuaín/overview,Forward,10/12/1987,,186cm,40232
Thomas Hill,Forward,  England,http://www.premierleague.com/players/51559/Thomas-Hill/overview,Liverpool,13/10/2002,99,,461601
Kaylen Hinds,Forward,  England,http://www.premierleague.com/players/14459/Kaylen-Hinds/overview,Watford,28/01/1998,53,179cm,154046
Wesley Hoedt,Defender,  Netherlands,http://www.premierleague.com/players/6194/Wesley-Hoedt/overview,Defender,06/03/1994,,188cm,167075
Ki-Jana Hoever,Defender,  Netherlands,http://www.premierleague.com/players/52951/Ki-Jana-Hoever/overview,Liverpool,18/01/2002,51,180cm,441271
Scott Hogan,Forward,  Ireland,http://www.premierleague.com/players/9496/Scott-Hogan/overview,Forward,13/04/1992,,180cm,79910
Rob Holding,Defender,  England,http://www.premierleague.com/players/11575/Rob-Holding/overview,Arsenal,20/09/1995,16,189cm,156074
José Holebas,Defender,  Greece,http://www.premierleague.com/players/5713/José-Holebas/overview,Watford,27/06/1984,25,184cm,40868
Mason Holgate,Defender,  England,http://www.premierleague.com/players/10564/Mason-Holgate/overview,Everton,22/10/1996,2,184cm,194164
Nathan Holland,Midfielder,  England,http://www.premierleague.com/players/14637/Nathan-Holland/overview,Midfielder,19/06/1998,,178cm,183487
Ricky Holmes,Midfielder,  England,http://www.premierleague.com/players/9431/Ricky-Holmes/overview,Midfielder,19/06/1987,,173cm,58857
Nathaniel Shio Hong Wan,Midfielder,  England,http://www.premierleague.com/players/66108/Nathaniel-Shio-Hong-Wan/overview,Midfielder,,,,487596
Conor Hourihane,Midfielder,  Ireland,http://www.premierleague.com/players/9377/Conor-Hourihane/overview,Aston Villa,02/02/1991,14,180cm,85242
Callum Hudson-Odoi,Forward,  England,http://www.premierleague.com/players/23702/Callum-Hudson-Odoi/overview,Chelsea,07/11/2000,20,182cm,209046
Will Hughes,Midfielder,  England,http://www.premierleague.com/players/8589/Will-Hughes/overview,Watford,17/04/1995,19,185cm,108413
Jordan Hugill,Forward,  England,http://www.premierleague.com/players/9417/Jordan-Hugill/overview,Forward,04/06/1992,,183cm,167522
Cameron Humphreys-Grant,Defender,  England,http://www.premierleague.com/players/13550/Cameron-Humphreys-Grant/overview,Defender,22/08/1998,,187cm,113037
Joseph Hungbo,Midfielder,  England,http://www.premierleague.com/players/24340/Joseph-Hungbo/overview,Watford,15/01/2000,44,,244890
James Husband,Defender,  England,http://www.premierleague.com/players/8598/James-Husband/overview,Defender,03/01/1994,,179cm,90263
Alan Hutton,Defender,  Scotland,http://www.premierleague.com/players/3506/Alan-Hutton/overview,Defender,30/11/1984,,185cm,15405
Emerson Hyndman,Midfielder,  United States,http://www.premierleague.com/players/10734/Emerson-Hyndman/overview,Midfielder,09/04/1996,,170cm,122342
Pierre-Emile Højbjerg,Midfielder,  Denmark,http://www.premierleague.com/players/5272/Pierre-Emile-Højbjerg/overview,Southampton,05/08/1995,,185cm,132015
Jordon Ibe,Midfielder,  England,http://www.premierleague.com/players/4527/Jordon-Ibe/overview,AFC Bournemouth,08/12/1995,10,176cm,103912
Vicente Iborra,Midfielder,  Spain,http://www.premierleague.com/players/7234/Vicente-Iborra/overview,Midfielder,16/01/1988,,190cm,54513
Adam Idah,Forward,  Ireland,http://www.premierleague.com/players/24641/Adam-Idah/overview,Norwich City,11/02/2001,35,190cm,432735
Odion Ighalo,Forward,  Nigeria,http://www.premierleague.com/players/10957/Odion-Ighalo/overview,Manchester United,16/06/1989,,181cm,58498
Kelechi Iheanacho,Forward,  Nigeria,http://www.premierleague.com/players/13554/Kelechi-Iheanacho/overview,Leicester City,03/10/1996,,185cm,173515
Iker Pozo,Midfielder,  Spain,http://www.premierleague.com/players/19923/Iker-Pozo/overview,Midfielder,06/08/2000,,,209697
Dejan Iliev,Goalkeeper,  ,http://www.premierleague.com/players/10542/Dejan-Iliev/overview,Goalkeeper,,,,153122
